GenBank Accession,Host,Location (State),Isolate,Year,Geographic region,Flyway,Data subset,,,
HM488117,mosquito,CT,BIDV4105,2005,NorthEast,Atlantic,A,B,,
HM488118,mosquito,CT,BIDV4107,2005,NorthEast,Atlantic,,,C,
HM488119,mosquito,CT,BIDV4108,2005,NorthEast,Atlantic,A,,,
HM488120,mosquito,CT,BIDV4109,2005,NorthEast,Atlantic,A,B,C,
HM488121,mosquito,CT,BIDV4110,2005,NorthEast,Atlantic,,B,C,
HM488125,American Crow  ,CT,BIDV4186,1999,NorthEast,Atlantic,,,C,
HM488126,American Crow  ,CT,BIDV4187,1999,NorthEast,Atlantic,A,B,,
HM488127,American Crow  ,CT,BIDV4188,1999,NorthEast,Atlantic,A,,C,
HM488128,American Crow  ,CT,BIDV4189,1999,NorthEast,Atlantic,A,B,,
HM488129,mosquito,CT,BIDV4191,2000,NorthEast,Atlantic,A,,C,
HM488130,mosquito,CT,BIDV4192,2000,NorthEast,Atlantic,,B,,
HM488131,mosquito,CT,BIDV4193,2000,NorthEast,Atlantic,,,,
HM488132,mosquito,CT,BIDV4194,2000,NorthEast,Atlantic,,,,
HM488133,mosquito,CT,BIDV4195,2001,NorthEast,Atlantic,,B,,
HM488135,mosquito,CT,BIDV4199,2001,NorthEast,Atlantic,,B,,
HM488136,mosquito,CT,BIDV4200,2001,NorthEast,Atlantic,,,,
HM488137,mosquito,CT,BIDV4202,2002,NorthEast,Atlantic,,B,,
HM488139,mosquito,CT,BIDV4208,2003,NorthEast,Atlantic,A,,C,
HM488140,mosquito,CT,BIDV4210,2003,NorthEast,Atlantic,A,,,
HM488141,mosquito,CT,BIDV4212,2003,NorthEast,Atlantic,,,C,
HM488142,mosquito,CT,BIDV4214,2004,NorthEast,Atlantic,A,B,C,
HM488143,mosquito,CT,BIDV4215,2004,NorthEast,Atlantic,,,,
HM488144,mosquito,CT,BIDV4216,2004,NorthEast,Atlantic,,,C,
HM488146,mosquito,CT,BIDV4218,2004,NorthEast,Atlantic,,B,,
HM488147,mosquito,CT,BIDV4219,2004,NorthEast,Atlantic,A,,,
HM488148,mosquito,CT,BIDV4220,2004,NorthEast,Atlantic,,,,
HM488149,mosquito,CT,BIDV4223,2005,NorthEast,Atlantic,,,,
HM488152,mosquito,CT,BIDV4226,2005,NorthEast,Atlantic,A,,C,
HM488154,mosquito,CT,BIDV4228,2005,NorthEast,Atlantic,,,C,
HM488155,mosquito,CT,BIDV4229,2006,NorthEast,Atlantic,A,,,
HM488156,mosquito,CT,BIDV4230,2006,NorthEast,Atlantic,,,C,
HM488157,mosquito,CT,BIDV4231,2006,NorthEast,Atlantic,,,,
HM488158,mosquito,CT,BIDV4232,2006,NorthEast,Atlantic,,B,,
HM488159,mosquito,CT,BIDV4233,2006,NorthEast,Atlantic,,,,
HM488160,mosquito,CT,BIDV4355,2006,NorthEast,Atlantic,,,,
HM488161,mosquito,CT,BIDV4356,2007,NorthEast,Atlantic,A,,,
HM488162,mosquito,CT,BIDV4357,2007,NorthEast,Atlantic,,,,
HM488163,mosquito,CT,BIDV4359,2007,NorthEast,Atlantic,,B,,
HM488164,mosquito,CT,BIDV4360,2007,NorthEast,Atlantic,A,B,C,
HM488165,mosquito,CT,BIDV4361,2007,NorthEast,Atlantic,,,C,
HM488166,mosquito,CT,BIDV4362,2008,NorthEast,Atlantic,A,B,,
HM488167,mosquito,CT,BIDV4363,2008,NorthEast,Atlantic,,,,
HM488169,mosquito,CT,BIDV4365,2008,NorthEast,Atlantic,A,B,,
HM488170,mosquito,CT,BIDV4366,2008,NorthEast,Atlantic,A,,,
HM488171,mosquito,CT,BIDV4560,2003,NorthEast,Atlantic,A,,C,
HM488172,mosquito,CT,BIDV4561,2003,NorthEast,Atlantic,A,B,C,
HM488173,mosquito,CT,BIDV4562,2003,NorthEast,Atlantic,A,B,C,
HM488174,mosquito,CT,BIDV4563,2003,NorthEast,Atlantic,,B,C,
HM488175,mosquito,CT,BIDV4569,2003,NorthEast,Atlantic,A,B,C,
HM488176,mosquito,CT,BIDV4575,2003,NorthEast,Atlantic,,B,,
HM488177,American Crow  ,IL,BIDV4336,2002,MidWest,Mississippi,,,,
HM488178,American Crow  ,IL,BIDV4337,2002,MidWest,Mississippi,,B,,
HM488179,American Crow  ,IL,BIDV4338,2002,MidWest,Mississippi,,,,
HM488180,American Crow  ,IL,BIDV4339,2002,MidWest,Mississippi,,,C,
HM488181,American Crow  ,IL,BIDV4340,2002,MidWest,Mississippi,,B,C,
HM488182,American Crow  ,IL,BIDV4341,2002,MidWest,Mississippi,,,C,
HM488183,Blue Jay  ,IL,BIDV4345,2002,MidWest,Mississippi,,,C,
HM488184,Blue Jay  ,IL,BIDV4346,2002,MidWest,Mississippi,,B,C,
HM488185,Blue Jay  ,IL,BIDV4347,2003,MidWest,Mississippi,,B,C,
HM488186,American Crow  ,IL,BIDV4350,2003,MidWest,Mississippi,,,,
HM488187,American Crow  ,IL,BIDV4351,2003,MidWest,Mississippi,A,B,C,
HM488188,American Crow  ,IL,BIDV4353,2004,MidWest,Mississippi,,,,
HM488189,Blue Jay  ,IL,BIDV4367,2004,MidWest,Mississippi,,,,
HM488190,American Crow  ,IL,BIDV4368,2004,MidWest,Mississippi,A,B,,
HM488191,American Crow  ,IL,BIDV4369,2004,MidWest,Mississippi,,B,,
HM488192,American Crow  ,IL,BIDV4371,2005,MidWest,Mississippi,A,B,,
HM488193,American Crow  ,IL,BIDV4373,2005,MidWest,Mississippi,A,,,
HM488194,American Crow  ,IL,BIDV4374,2005,MidWest,Mississippi,,B,C,
HM488195,Blue Jay  ,IL,BIDV4375,2005,MidWest,Mississippi,,B,,
HM488196,American Crow  ,IL,BIDV4376,2005,MidWest,Mississippi,A,,,
HM488197,American Crow  ,IL,BIDV4377,2005,MidWest,Mississippi,,B,,
HM488198,mosquito,IL,BIDV4378,2005,MidWest,Mississippi,A,,C,
HM488199,American Crow  ,NY,BIDV4090,2007,NorthEast,Atlantic,A,B,,
HM488200,American Crow  ,NY,BIDV4092,2007,NorthEast,Atlantic,,,C,
HM488201,American Crow  ,NY,BIDV4093,2007,NorthEast,Atlantic,,,C,
HM488202,Blue Jay  ,NY,BIDV4094,2007,NorthEast,Atlantic,,,C,
HM488203,American Crow  ,NY,BIDV4096,2008,NorthEast,Atlantic,A,B,,
HM488204,American Crow  ,NY,BIDV4098,2008,NorthEast,Atlantic,A,B,C,
HM488205,American Crow  ,NY,BIDV4099,2008,NorthEast,Atlantic,A,B,,
HM488206,American Crow  ,NY,BIDV4100,2008,NorthEast,Atlantic,,,,
HM488207,Blue Jay  ,NY,BIDV4101,2008,NorthEast,Atlantic,,B,,
HM488208,mosquito,CT,BIDV4204,2002,NorthEast,Atlantic,,,C,
HM488209,mosquito,CT,BIDV4564,2003,NorthEast,Atlantic,A,B,C,
HM488210,mosquito,CT,BIDV4565,2003,NorthEast,Atlantic,A,,C,
HM488211,mosquito,CT,BIDV4566,2003,NorthEast,Atlantic,A,,,
HM488212,mosquito,CT,BIDV4567,2003,NorthEast,Atlantic,A,,C,
HM488213,mosquito,CT,BIDV4571,2003,NorthEast,Atlantic,,,C,
HM488214,mosquito,CT,BIDV4572,2003,NorthEast,Atlantic,,,,
HM488215,mosquito,CT,BIDV4573,2003,NorthEast,Atlantic,,,,
HM488216,mosquito,CT,BIDV4574,2003,NorthEast,Atlantic,A,B,,
HM488217,mosquito,CT,BIDV4581,2003,NorthEast,Atlantic,A,B,,
HM488218,mosquito,CT,BIDV4583,2003,NorthEast,Atlantic,A,B,,
HM488219,mosquito,CT,BIDV4585,2003,NorthEast,Atlantic,,B,,
HM488220,mosquito,CT,BIDV4586,2003,NorthEast,Atlantic,,B,,
HM488221,mosquito,CT,BIDV4593,2003,NorthEast,Atlantic,,B,C,
HM488222,mosquito,CT,BIDV4599,2003,NorthEast,Atlantic,,,C,
HM488223,mosquito,CT,BIDV4603,2003,NorthEast,Atlantic,,,C,
HM488224,mosquito,CT,BIDV4604,2003,NorthEast,Atlantic,A,,,
HM488226,mosquito,CT,BIDV4607,2003,NorthEast,Atlantic,A,B,,
HM488227,mosquito,CT,BIDV4608,2003,NorthEast,Atlantic,A,,,
HM488228,mosquito,CT,BIDV4609,2003,NorthEast,Atlantic,A,,,
HM488229,mosquito,CT,BIDV4610,2003,NorthEast,Atlantic,,,,
HM488230,mosquito,CT,BIDV4612,2003,NorthEast,Atlantic,A,,,
HM488232,mosquito,CT,BIDV4614,2003,NorthEast,Atlantic,,,C,
HM488233,mosquito,CT,BIDV4616,2003,NorthEast,Atlantic,,,,
HM488234,mosquito,CT,BIDV4617,2003,NorthEast,Atlantic,,,,
HM488235,mosquito,CT,BIDV4619,2003,NorthEast,Atlantic,,,,
HM488236,mosquito,CT,BIDV4700,2003,NorthEast,Atlantic,A,,C,
HM488237,American Crow  ,NY,BIDV4622,2008,NorthEast,Atlantic,A,,,
HM488238,American Crow  ,NY,BIDV4623,2008,NorthEast,Atlantic,,B,,
HM488239,American Crow  ,NY,BIDV4624,2008,NorthEast,Atlantic,A,B,,
HM488240,Blue Jay  ,NY,BIDV4627,2008,NorthEast,Atlantic,,,C,
HM488241,American Crow  ,NY,BIDV4628,2008,NorthEast,Atlantic,A,,C,
HM488242,Black-capped Chickadee,NY,BIDV4631,2008,NorthEast,Atlantic,,,,
HM488243,American Crow  ,NY,BIDV4632,2008,NorthEast,Atlantic,A,B,C,
HM488244,American Kestrel  ,NY,BIDV4634,2008,NorthEast,Atlantic,,B,C,
HM488245,American Crow  ,NY,BIDV4635,2008,NorthEast,Atlantic,A,B,C,
HM488246,American Crow  ,NY,BIDV4689,2001,NorthEast,Atlantic,,,,
HM488247,American Crow  ,NY,BIDV4691,2001,NorthEast,Atlantic,A,B,C,
HM488248,American Crow  ,NY,BIDV4694,2001,NorthEast,Atlantic,A,,,
HM488249,American Crow  ,NY,BIDV4696,2001,NorthEast,Atlantic,A,B,C,
HM488250,American Crow  ,NY,BIDV4717,2003,NorthEast,Atlantic,,,C,
HM488251,American Crow  ,NY,BIDV4719,2003,NorthEast,Atlantic,A,B,C,
HM488252,American Crow  ,NY,BIDV4805,2005,NorthEast,Atlantic,A,,C,
HM488253,mosquito,IL,BIDV4553,2006,MidWest,Mississippi,A,,C,
HM488254,mosquito,IL,BIDV4559,2007,MidWest,Mississippi,,B,,
HM756648,mosquito,CT,BIDV4205,2002,NorthEast,Atlantic,,,,
HM756649,mosquito,CT,BIDV4354,2006,NorthEast,Atlantic,A,,C,
HM756650,mosquito,CT,BIDV4582,2003,NorthEast,Atlantic,,B,C,
HM756651,mosquito,CT,BIDV4584,2003,NorthEast,Atlantic,,B,,
HM756652,mosquito,CT,BIDV4587,2003,NorthEast,Atlantic,A,,,
HM756653,mosquito,CT,BIDV4588,2003,NorthEast,Atlantic,,B,,
HM756654,mosquito,CT,BIDV4598,2003,NorthEast,Atlantic,A,,C,
HM756656,mosquito,CT,BIDV4615,2003,NorthEast,Atlantic,A,B,C,
HM756657,mosquito,CT,BIDV4685,2003,NorthEast,Atlantic,,,C,
HM756658,mosquito,CT,BIDV4686,2003,NorthEast,Atlantic,,,,
HM756659,mosquito,CT,BIDV4687,2003,NorthEast,Atlantic,,,,
HM756660,Cooper's Hawk,NY,BIDV4097,2008,NorthEast,Atlantic,A,,C,
HM756661,American Crow  ,NY,BIDV4692,2001,NorthEast,Atlantic,A,,,
HM756662,American Crow  ,NY,BIDV4693,2001,NorthEast,Atlantic,A,,,
HM756663,American Crow  ,NY,BIDV4697,2001,NorthEast,Atlantic,A,,,
HM756664,American Crow  ,NY,BIDV4701,2002,NorthEast,Atlantic,A,,,
HM756665,American Crow  ,NY,BIDV4709,2002,NorthEast,Atlantic,,B,,
HM756666,American Crow  ,NY,BIDV4711,2003,NorthEast,Atlantic,,B,,
HM756667,American Crow  ,NY,BIDV4712,2003,NorthEast,Atlantic,A,B,C,
HM756668,American Crow  ,NY,BIDV4716,2003,NorthEast,Atlantic,,B,,
HM756669,American Crow  ,NY,BIDV4718,2003,NorthEast,Atlantic,,B,,
HM756670,American Crow  ,NY,BIDV4720,2003,NorthEast,Atlantic,,B,C,
HM756671,American Crow  ,NY,BIDV4798,2004,NorthEast,Atlantic,,B,C,
HM756672,American Crow  ,NY,BIDV4799,2004,NorthEast,Atlantic,A,,,
HM756673,American Crow  ,NY,BIDV4801,2004,NorthEast,Atlantic,,B,,
HM756675,American Crow  ,NY,BIDV4806,2005,NorthEast,Atlantic,A,,,
HM756676,Blue Jay  ,IL,BIDV4349,2003,MidWest,Mississippi,,,,
HM756677,Lorii,NM,BIDV4530,2005,West,Central,A,B,,
HM756678,American Crow  ,NY,BIDV4095,2007,NorthEast,Atlantic,,,,
HQ671697,mosquito,CT,BIDV4197,2001,NorthEast,Atlantic,A,B,C,
HQ671698,mosquito,CT,BIDV4203,2002,NorthEast,Atlantic,,,,
HQ671699,mosquito,CT,BIDV4206,2002,NorthEast,Atlantic,A,,C,
HQ671700,mosquito,CT,BIDV4576,2003,NorthEast,Atlantic,A,B,C,
HQ671701,mosquito,CT,BIDV4590,2003,NorthEast,Atlantic,A,,,
HQ671702,mosquito,CT,BIDV4595,2003,NorthEast,Atlantic,,B,C,
HQ671703,mosquito,CT,BIDV4611,2003,NorthEast,Atlantic,A,B,C,
HQ671704,mosquito,CT,BIDV4618,2003,NorthEast,Atlantic,,,C,
HQ671705,mosquito,CT,BIDV4620,2003,NorthEast,Atlantic,,B,,
HQ671707,mosquito,CT,BIDV4899,1999,NorthEast,Atlantic,A,B,,
HQ671708,mosquito,CT,BIDV4900,2000,NorthEast,Atlantic,,B,C,
HQ671709,mosquito,CT,BIDV4901,2000,NorthEast,Atlantic,A,,C,
HQ671710,mosquito,CT,BIDV4902,2000,NorthEast,Atlantic,,,,
HQ671711,mosquito,CT,BIDV4903,2000,NorthEast,Atlantic,,,,
HQ671712,mosquito,CT,BIDV4904,2000,NorthEast,Atlantic,,,,
HQ671713,American Crow  ,CT,BIDV4905,2001,NorthEast,Atlantic,,B,,
HQ671714,mosquito,CT,BIDV4906,2001,NorthEast,Atlantic,A,,,
HQ671715,mosquito,CT,BIDV4908,2001,NorthEast,Atlantic,,,,
HQ671716,mosquito,CT,BIDV4909,2001,NorthEast,Atlantic,,B,C,
HQ671717,mosquito,CT,BIDV4910,2001,NorthEast,Atlantic,A,,,
HQ671718,mosquito,CT,BIDV4911,2001,NorthEast,Atlantic,,,C,
HQ671719,mosquito,CT,BIDV4912,2001,NorthEast,Atlantic,,B,,
HQ671720,American Crow  ,CT,BIDV4913,2002,NorthEast,Atlantic,A,B,C,
HQ671721,American Crow  ,NY,BIDV4625,2008,NorthEast,Atlantic,A,,,
HQ671722,American Crow  ,NY,BIDV4704,2002,NorthEast,Atlantic,,,,
HQ671723,American Crow  ,NY,BIDV4715,2003,NorthEast,Atlantic,A,B,,
HQ671724,American Crow  ,NY,BIDV4883,2005,NorthEast,Atlantic,,B,C,
HQ671725,American Crow  ,NY,BIDV4885,2005,NorthEast,Atlantic,,,,
HQ671726,American Crow  ,NY,BIDV4887,2005,NorthEast,Atlantic,,,,
HQ671727,American Crow  ,NY,BIDV4889,2006,NorthEast,Atlantic,A,B,,
HQ671728,American Crow  ,NY,BIDV4891,2006,NorthEast,Atlantic,,B,C,
HQ671729,American Crow  ,NY,BIDV4892,2006,NorthEast,Atlantic,A,,,
HQ671730,American Crow  ,NY,BIDV4897,2007,NorthEast,Atlantic,,,C,
HQ671742,Blue Jay  ,IL,BIDV4343,2002,MidWest,Mississippi,,B,,
HQ705659,mosquito,CT,BIDV4209,2003,NorthEast,Atlantic,A,,,
HQ705660,American Crow  ,NY,BIDV4714,2003,NorthEast,Atlantic,,B,,
JF488086,mosquito,CT,BIDV5176,2004,NorthEast,Atlantic,A,,C,
JF488087,mosquito,CT,BIDV5177,2004,NorthEast,Atlantic,,,C,
JF488088,mosquito,CT,BIDV5178,2004,NorthEast,Atlantic,A,,C,
JF488089,mosquito,CT,BIDV5179,2004,NorthEast,Atlantic,,B,,
JF488090,mosquito,CT,BIDV5180,2004,NorthEast,Atlantic,A,B,,
JF488091,mosquito,CT,BIDV5181,2004,NorthEast,Atlantic,A,,,
JF488092,mosquito,CT,BIDV5182,2004,NorthEast,Atlantic,,,,
JF488093,mosquito,CT,BIDV5188,2005,NorthEast,Atlantic,,B,,
JF488094,American Crow  ,NY,BIDV5150,2004,NorthEast,Atlantic,A,B,,
JF488095,American Crow  ,NY,BIDV5157,2009,NorthEast,Atlantic,A,B,,
JF488096,American Crow  ,NY,BIDV5159,2009,NorthEast,Atlantic,A,B,C,
JF488097,American Crow  ,NY,BIDV5148,2007,NorthEast,Atlantic,A,,C,
JF730042,American Crow  ,NY,BIDV5147,2007,NorthEast,Atlantic,A,B,C,
JF730043,mosquito,CT,BIDV5170,2002,NorthEast,Atlantic,,,C,
JF899528,American Crow  ,NY,BIDV4800,2004,NorthEast,Atlantic,,,C,
JF899529,American Crow  ,NY,BIDV4808,2005,NorthEast,Atlantic,,B,C,
JF920306,mosquito,CT,BIDV4597,2003,NorthEast,Atlantic,A,,,
JF920307,mosquito,CT,BIDV4907,2001,NorthEast,Atlantic,A,B,,
JF920728,mosquito,CT,BIDV4568,2003,NorthEast,Atlantic,,,,
JF920729,mosquito,CT,BIDV5196,2006,NorthEast,Atlantic,A,,,
JF920730,mosquito,CT,BIDV5197,2006,NorthEast,Atlantic,A,B,,
JF920731,mosquito,CT,BIDV5201,2006,NorthEast,Atlantic,A,B,C,
JF920732,mosquito,CT,BIDV5202,2006,NorthEast,Atlantic,A,,C,
JF920733,mosquito,CT,BIDV5203,2006,NorthEast,Atlantic,,,,
JF920734,mosquito,CT,BIDV5204,2006,NorthEast,Atlantic,A,B,C,
JF920735,mosquito,CT,BIDV5205,2006,NorthEast,Atlantic,A,B,,
JF920736,mosquito,CT,BIDV5206,2006,NorthEast,Atlantic,A,B,C,
JF920737,mosquito,CT,BIDV5207,2006,NorthEast,Atlantic,,,,
JF920738,mosquito,CT,BIDV5208,2007,NorthEast,Atlantic,A,,,
JF920739,mosquito,CT,BIDV5209,2007,NorthEast,Atlantic,,B,,
JF920741,mosquito,CT,BIDV5212,2007,NorthEast,Atlantic,,,C,
JF920742,mosquito,CT,BIDV5213,2007,NorthEast,Atlantic,,B,C,
JF920743,mosquito,CT,BIDV5214,2007,NorthEast,Atlantic,A,,,
JF920744,mosquito,CT,BIDV5215,2007,NorthEast,Atlantic,,B,,
JF920745,mosquito,CT,BIDV5216,2007,NorthEast,Atlantic,,B,C,
JF920746,mosquito,CT,BIDV5217,2007,NorthEast,Atlantic,,,C,
JF920747,mosquito,CT,BIDV5218,2008,NorthEast,Atlantic,,,C,
JF920748,mosquito,CT,BIDV5219,2008,NorthEast,Atlantic,,,,
JF920749,mosquito,CT,BIDV5220,2008,NorthEast,Atlantic,,,,
