Accession number,Strain,Location,Host-species,Year,Lineage
AF260967,NY99-eqhs,USA: New York,horse,1999,"1a, cluster 4"
DQ431705,04-233ND,USA: North Dakota,human- plasma,2004,"1a, cluster 4"
DQ164189,NY 2003 Albany,"USA: NY, Albany",American crow,2003,"1a, cluster 4"
DQ164187,NY 2002 Broome,"USA: NY, Broome",American crow,2002,"1a, cluster 4"
DQ164191,NY 2003 Chautauqua,"USA: NY, Chautauqua",American crow,2003,"1a, cluster 4"
DQ164193,NY 2002 Clinton,"USA: NY, Clinton",American crow,2002,"1a, cluster 4"
DQ164195,NY 2002 Nassau,"USA: NY, Nassau",Culex pipiens/restuans,2002,"1a, cluster 4"
DQ164186,NY 2002 Queens,"USA: NY, Queens",American crow,2002,"1a, cluster 4"
DQ164192,NY 2003 Rockland,"USA: NY, Rockland",American crow,2003,"1a, cluster 4"
DQ164194,NY 2001 Suffolk,"USA: NY, Suffolk",American crow,2001,"1a, cluster 4"
DQ164190,NY 2003 Suffolk,"USA: NY, Suffolk",American crow,2003,"1a, cluster 4"
DQ164188,NY 2003 Westchester,"USA: NY, Westchester",American crow,2003,"1a, cluster 4"
DQ164202,OH 2002,USA: OH,human- plasma,2002,"1a, cluster 4"
DQ666452,BSL2-05,USA: South Dakota,human- plasma,2005,"1a, cluster 4"
DQ164198,TX 2002 1 (80025),USA: Texas,human- plasma,2002,"1a, cluster 4"
DQ164205,TX 2002 2 (80022),USA: Texas,human- plasma,2002,"1a, cluster 4"
AY712945,Bird 1153 (TWN274),USA: Texas,mourning dove,2003,"1a, cluster 4"
AY712946,Bird 1171 (TWN269),USA: Texas,bluejay,2003,"1a, cluster 4"
AY712947,Bird 1461 (TWN301),USA: Texas,bird,2003,"1a, cluster 4"
AY712948,V4369 (TWN382),USA: Texas,Culex quinquefasciatus,2003,"1a, cluster 4"
DQ431693,03-20TX ,USA: Texas,human- plasma,2003,"1a, cluster 4"
DQ431694,03-22TX,USA: Texas,human- plasma,2003,"1a, cluster 4"
DQ164199,TX 2003 (Texas82229),USA: Texas,human- plasma,2003,"1a, cluster 4"
DQ666449,GCTX1-2005,USA: Texas,human- plasma,2005,"1a, cluster 4"
DQ666450,GCTX2-2005,USA: Texas,human- plasma,2005,"1a, cluster 4"
DQ164206,TX 2004 Harris 4 (bird 3588),"USA: Texas, Harris Co.",Bluejay,2004,"1a, cluster 4"
DQ005530,BSL5-03,USA: Utah,human- plasma,2003,"1a, cluster 4"
DQ431696,03-104WI,USA: Wisconsin,human- plasma,2003,"1a, cluster 4"
DQ080053,AZ-03 03-1799 ,"USA:Arizona, Apache Co.",Culex tarsalis,2003,"1a, cluster 4"
DQ080051,AZ-03-1623 (A),"USA:Arizona, Cochise Co.",Culex tarsalis,2003,"1a, cluster 4"
DQ080052,AZ-03-1681 (B),"USA:Arizona, Maricopoa Co.",Culex tarsalis,2003,"1a, cluster 4"
DQ080055,CA-03 IMPR 102 (F),"USA:California, Imperial Valley",Culex tarsalis,2003,"1a, cluster 4"
DQ080056,CA-03 IMPR-1075 (G),"USA:California, Imperial Valley",Culex tarsalis,2003,"1a, cluster 4"
DQ080054,CA-03 GRLA-1260,"USA:California, Los Angeles",Culex quinquefasciatus,2003,"1a, cluster 4"
AF206518,CT-2741,"USA:Connecticut, Greenwich-Stanford town line",Culex pipiens,1999,"1a, cluster 4"
FJ527738,LSU-AR01,USA:Louisiana,blue jay,2001,"1a, cluster 4"
DQ080062,LA02-2829 (TWN165),USA:Louisiana,Mosquito,2002,"1a, cluster 4"
DQ080061,Bird2409,USA:Louisiana,Cardinal,2004,"1a, cluster 4"
AY289214,Beaumont (TVP 8533),"USA:Texas, Beaumont",Human,2002,"1a, cluster 4"
GQ851607,IBAN7019,Nigeria,,1965,"1a, cluster 5"
GQ851606,ArD27875,Senegal,,1979,"1a, cluster 5"
GQ851608,ArB310/67,CAR,,1967,"1a, cluster 6"
AY274504,MRM61C,Australia: Kowanyama,Culex annulirostris,1960,1b
GQ851602,MRM16,Australia: Kowanyama,Cx annulirostris,1960,1b
GQ851603,K6453,Australia: Kunnunnurra,Cx annulirostris,1991,1b
GQ851605,G16146,India,,1957,1c
GQ851604,G15578,India,,1957,1c
DQ256376,804994,India,Human,1980,1c
