Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
KX547598,West Nile virus,USA,NY,Dutchess county,,corvus brachyrhynchos,40059,"    Direct Submission
  ",bird,American Crow
KX547191,West Nile virus,USA,NY,Dutchess county,,culex sp.,39667,"    Direct Submission
  ",mosquito,Culex
KX547208,West Nile virus,USA,NY,Dutchess county,,culex sp.,39265,"    Direct Submission
  ",mosquito,Culex
KX547219,West Nile virus,USA,NY,Dutchess county,,culex sp.,39324,"    Direct Submission
  ",mosquito,Culex
KX547362,West Nile virus,USA,NY,Dutchess county,,culex sp.,38595,"    Direct Submission
  ",mosquito,Culex
KX547370,West Nile virus,USA,NY,Dutchess county,,culex sp.,38594,"    Direct Submission
  ",mosquito,Culex
KX547586,West Nile virus,USA,NY,Dutchess county,,culex sp.,37518,"    Direct Submission
  ",mosquito,Culex
KX547267,West Nile virus,USA,NY,Dutchess county,,cyanocitta cristata,37893,"    Direct Submission
  ",bird,Blue Jay
KX547530,West Nile virus,USA,NY,Dutchess county,,passer domesticus,38625,"    Direct Submission
  ",bird,Passeriformes
KX547511,West Nile virus,USA,NY,Erie county,,accipiter gentilis,38950,"    Direct Submission
  ",bird,Accipitriformes
KX547343,West Nile virus,USA,NY,Erie county,,aedes sp.,41129,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547471,West Nile virus,USA,NY,Erie county,,aedes sp.,38616,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547250,West Nile virus,USA,NY,Erie county,,corvus brachyrhynchos,38932,"    Direct Submission
  ",bird,American Crow
KX547470,West Nile virus,USA,NY,Erie county,,corvus brachyrhynchos,39303,"    Direct Submission
  ",bird,American Crow
KX547498,West Nile virus,USA,NY,Erie county,,corvus brachyrhynchos,40065,"    Direct Submission
  ",bird,American Crow
KX547542,West Nile virus,USA,NY,Erie county,,corvus brachyrhynchos,38145,"    Direct Submission
  ",bird,American Crow
KX547185,West Nile virus,USA,NY,Erie county,,culex sp.,41158,"    Direct Submission
  ",mosquito,Culex
KX547227,West Nile virus,USA,NY,Erie county,,culex sp.,40787,"    Direct Submission
  ",mosquito,Culex
KX547241,West Nile virus,USA,NY,Erie county,,culex sp.,37873,"    Direct Submission
  ",mosquito,Culex
KX547247,West Nile virus,USA,NY,Erie county,,culex sp.,37482,"    Direct Submission
  ",mosquito,Culex
KX547257,West Nile virus,USA,NY,Erie county,,culex sp.,39349,"    Direct Submission
  ",mosquito,Culex
KX547273,West Nile virus,USA,NY,Erie county,,culex sp.,38929,"    Direct Submission
  ",mosquito,Culex
KX547276,West Nile virus,USA,NY,Erie county,,culex sp.,40742,"    Direct Submission
  ",mosquito,Culex
KX547298,West Nile virus,USA,NY,Erie county,,culex sp.,38202,"    Direct Submission
  ",mosquito,Culex
KX547330,West Nile virus,USA,NY,Erie county,,culex sp.,41535,"    Direct Submission
  ",mosquito,Culex
KX547334,West Nile virus,USA,NY,Erie county,,culex sp.,41078,"    Direct Submission
  ",mosquito,Culex
KX547335,West Nile virus,USA,NY,Erie county,,culex sp.,39665,"    Direct Submission
  ",mosquito,Culex
KX547376,West Nile virus,USA,NY,Erie county,,culex sp.,40437,"    Direct Submission
  ",mosquito,Culex
KX547380,West Nile virus,USA,NY,Erie county,,culex sp.,41101,"    Direct Submission
  ",mosquito,Culex
KX547391,West Nile virus,USA,NY,Erie county,,culex sp.,40415,"    Direct Submission
  ",mosquito,Culex
KX547392,West Nile virus,USA,NY,Erie county,,culex sp.,39302,"    Direct Submission
  ",mosquito,Culex
KX547408,West Nile virus,USA,NY,Erie county,,culex sp.,38243,"    Direct Submission
  ",mosquito,Culex
KX547436,West Nile virus,USA,NY,Erie county,,culex sp.,39699,"    Direct Submission
  ",mosquito,Culex
KX547473,West Nile virus,USA,NY,Erie county,,culex sp.,41472,"    Direct Submission
  ",mosquito,Culex
KX547486,West Nile virus,USA,NY,Erie county,,culex sp.,38608,"    Direct Submission
  ",mosquito,Culex
KX547503,West Nile virus,USA,NY,Erie county,,culex sp.,37482,"    Direct Submission
  ",mosquito,Culex
KX547531,West Nile virus,USA,NY,Erie county,,culex sp.,37846,"    Direct Submission
  ",mosquito,Culex
KX547562,West Nile virus,USA,NY,Erie county,,culex sp.,40386,"    Direct Submission
  ",mosquito,Culex
KX547604,West Nile virus,USA,NY,Erie county,,culex sp.,41514,"    Direct Submission
  ",mosquito,Culex
KX547607,West Nile virus,USA,NY,Erie county,,culex sp.,38957,"    Direct Submission
  ",mosquito,Culex
KX547608,West Nile virus,USA,NY,Erie county,,culex sp.,40050,"    Direct Submission
  ",mosquito,Culex
KX547614,West Nile virus,USA,NY,Erie county,,culex sp.,38539,"    Direct Submission
  ",mosquito,Culex
KX547336,West Nile virus,USA,NY,Essex county,,corvus brachyrhynchos,37508,"    Direct Submission
  ",bird,American Crow
KC711059,West Nile virus,USA,TX,Collin county,,culex restuans,41191,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  ",mosquito,Culex
MH170256,West Nile virus,USA,CO,Fort Collins,bird,corvus brachyrhynchos,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,American Crow
KR868734,West Nile virus,USA,CO,Fort Collins,homogenate from 6 pooled mosquitoes,culex tarsalis,41143,"    West Nile virus sequenced from a pool of Culex tarsalis, Fort
            Collins, CO, 2012
  ",mosquito,Culex
MH170238,West Nile virus,USA,CO,Fort Collins,bird,turdus migratorius,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
MH170231,West Nile virus,USA,CO,Fort Collins,bird,spinus tristis,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
MH170234,West Nile virus,USA,CO,Fort Collins,bird,pica hudsonia,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
MH170226,West Nile virus,USA,CO,Fort Collins,bird,turdus migratorius,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
MH170254,West Nile virus,USA,CO,Fort Collins,bird,spinus tristis,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
KX547207,West Nile virus,USA,NY,Fulton county,,corvus brachyrhynchos,37482,"    Direct Submission
  ",bird,American Crow
MH170274,West Nile virus,USA,GA,Fulton County,bird,cyanocitta cristata,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Blue Jay
MH170258,West Nile virus,USA,GA,Chatham,mosquito,culex quinquefasciatus,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170272,West Nile virus,USA,GA,Chatham,mosquito pool (25),culex sp.,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
KX547237,West Nile virus,USA,NY,Genesee county,,corvus brachyrhynchos,38211,"    Direct Submission
  ",bird,American Crow
KX547484,West Nile virus,USA,NY,Genesee county,,corvus ossifragus,37530,"    Direct Submission
  ",bird,Passeriformes
KX547172,West Nile virus,USA,NY,Greene county,,corvus ossifragus,40058,"    Direct Submission
  ",bird,Passeriformes
KX547166,West Nile virus,USA,NY,Greene county,,equus caballus,37922,"    Direct Submission
  ",other_species,
DQ176637,West Nile virus,USA,TX,Hall County,grackle (Quiscalus quiscula),grackle (quiscalus quiscula),,"    Resistance to alpha/beta interferon is a determinant of West Nile
            virus replication fitness and virulence
  ",bird,Passeriformes
MH170270,West Nile virus,USA,GA,Henry County,bird,corvus brachyrhynchos,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,American Crow
KX547499,West Nile virus,USA,NY,Herkimer county,,corvus brachyrhynchos,38182,"    Direct Submission
  ",bird,American Crow
KX547577,West Nile virus,USA,NY,Herkimer county,,corvus brachyrhynchos,38182,"    Direct Submission
  ",bird,American Crow
KJ786935,West Nile virus,USA,TX,Houston,,northern mockingbird,41143,"    Evidence for Co-evolution of West Nile Virus and House Sparrows in
            North America
  ",bird,Passeriformes
KX547371,West Nile virus,USA,NY,Jefferson county,,corvus brachyrhynchos,39345,"    Direct Submission
  ",bird,American Crow
KX547462,West Nile virus,USA,NY,Jefferson county,,corvus brachyrhynchos,38167,"    Direct Submission
  ",bird,American Crow
KX547620,West Nile virus,USA,NY,Jefferson county,,corvus brachyrhynchos,37497,"    Direct Submission
  ",bird,American Crow
KX547275,West Nile virus,USA,NY,Jefferson county,,cyanocitta cristata,38233,"    Direct Submission
  ",bird,Blue Jay
KX547553,West Nile virus,USA,NY,Jefferson county,,cyanocitta cristata,38976,"    Direct Submission
  ",bird,Blue Jay
KJ786936,West Nile virus,USA,TX,Kathy,,cyanocitta cristata (blue jay),41138,"    Evidence for Co-evolution of West Nile Virus and House Sparrows in
            North America
  ",bird,Blue Jay
KX547217,West Nile virus,USA,NY,Kings county,,colaptes auratus,38624,"    Direct Submission
  ",bird,
KX547435,West Nile virus,USA,NY,Kings county,,corvus brachyrhynchos,38947,"    Direct Submission
  ",bird,American Crow
KX547616,West Nile virus,USA,NY,Kings county,,corvus brachyrhynchos,39345,"    Direct Submission
  ",bird,American Crow
KX547552,West Nile virus,USA,NY,Kings county,,cyanocitta cristata,40437,"    Direct Submission
  ",bird,Blue Jay
KX547588,West Nile virus,USA,NY,Kings county,,turdus migratorius,38226,"    Direct Submission
  ",bird,Passeriformes
MH170228,West Nile virus,USA,CO,Larimer County,mosquito,culex pipiens,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170237,West Nile virus,USA,CO,Larimer County,mosquito,culex pipiens,2003,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170227,West Nile virus,USA,CO,Larimer County,mosquito,culex tarsalis,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
MH170257,West Nile virus,USA,GA,Lawnder County,mosquito,culex nigripalpus,2005,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,Culex
KX547243,West Nile virus,USA,NY,Lewis county,,corvus brachyrhynchos,38952,"    Direct Submission
  ",bird,American Crow
KX547506,West Nile virus,USA,NY,Lewis county,,corvus brachyrhynchos,37489,"    Direct Submission
  ",bird,American Crow
KX547508,West Nile virus,USA,NY,Lewis county,,corvus brachyrhynchos,38600,"    Direct Submission
  ",bird,American Crow
KX547605,West Nile virus,USA,NY,Lewis county,,corvus brachyrhynchos,38179,"    Direct Submission
  ",bird,American Crow
KX547264,West Nile virus,USA,NY,Livingston county,,corvus brachyrhynchos,38215,"    Direct Submission
  ",bird,American Crow
KX547472,West Nile virus,USA,NY,Livingston county,,cyanocitta cristata,38960,"    Direct Submission
  ",bird,Blue Jay
MH170233,West Nile virus,USA,CO,LarimerCounty,bird,bubo virginianus,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Strigiformes
MH170273,West Nile virus,USA,GA,Lowndes County,bird,corvus brachyrhynchos,2001,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,American Crow
KX547460,West Nile virus,USA,NY,Madison county,,aedes sp.,41492,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547398,West Nile virus,USA,NY,Madison county,,corvus brachyrhynchos,37491,"    Direct Submission
  ",bird,American Crow
KX547274,West Nile virus,USA,NY,Madison county,,culiseta sp.,41522,"    Direct Submission
  ",mosquito,Culiseta
KX547347,West Nile virus,USA,NY,Monroe county,,corvus brachyrhynchos,38497,"    Direct Submission
  ",bird,American Crow
KX547415,West Nile virus,USA,NY,Monroe county,,corvus brachyrhynchos,38196,"    Direct Submission
  ",bird,American Crow
KX547451,West Nile virus,USA,NY,Monroe county,,corvus brachyrhynchos,38951,"    Direct Submission
  ",bird,American Crow
KX547545,West Nile virus,USA,NY,Monroe county,,corvus brachyrhynchos,39353,"    Direct Submission
  ",bird,American Crow
KX547218,West Nile virus,USA,NY,Monroe county,,culex sp.,37847,"    Direct Submission
  ",mosquito,Culex
KX547477,West Nile virus,USA,NY,Monroe county,,culex sp.,38209,"    Direct Submission
  ",mosquito,Culex
KX547610,West Nile virus,USA,NY,Monroe county,,culex sp.,38209,"    Direct Submission
  ",mosquito,Culex
KX547209,West Nile virus,USA,NY,Montgomery county,,corvus brachyrhynchos,39012,"    Direct Submission
  ",bird,American Crow
KX547525,West Nile virus,USA,NY,Montgomery county,,corvus brachyrhynchos,37501,"    Direct Submission
  ",bird,American Crow
MH170264,West Nile virus,USA,GA,Muscogee County,bird,baeolophus bicolor,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Passeriformes
DQ164195,West Nile virus,USA,NY,Nassau county,,culex pipiens/restuans,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",mosquito,Culex
KX547201,West Nile virus,USA,NY,Nassau county,,aedes sp.,41110,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547222,West Nile virus,USA,NY,Nassau county,,aedes sp.,41096,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547283,West Nile virus,USA,NY,Nassau county,,aedes sp.,41151,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547443,West Nile virus,USA,NY,Nassau county,,aedes sp.,41138,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547579,West Nile virus,USA,NY,Nassau county,,aedes sp.,41110,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547601,West Nile virus,USA,NY,Nassau county,,aedes sp.,40399,"    Direct Submission
  ",mosquito,Aedes and Ochlerotatus
KX547317,West Nile virus,USA,NY,Nassau county,,corvus brachyrhynchos,38195,"    Direct Submission
  ",bird,American Crow
KX547359,West Nile virus,USA,NY,Nassau county,,corvus brachyrhynchos,38943,"    Direct Submission
  ",bird,American Crow
KX547452,West Nile virus,USA,NY,Nassau county,,corvus brachyrhynchos,39308,"    Direct Submission
  ",bird,American Crow
KX547522,West Nile virus,USA,NY,Nassau county,,corvus ossifragus,40035,"    Direct Submission
  ",bird,Passeriformes
KX547164,West Nile virus,USA,NY,Nassau county,,culex sp.,38968,"    Direct Submission
  ",mosquito,Culex
KX547186,West Nile virus,USA,NY,Nassau county,,culex sp.,39637,"    Direct Submission
  ",mosquito,Culex
KX547190,West Nile virus,USA,NY,Nassau county,,culex sp.,41467,"    Direct Submission
  ",mosquito,Culex
KX547193,West Nile virus,USA,NY,Nassau county,,culex sp.,38632,"    Direct Submission
  ",mosquito,Culex
KX547196,West Nile virus,USA,NY,Nassau county,,culex sp.,41534,"    Direct Submission
  ",mosquito,Culex
KX547210,West Nile virus,USA,NY,Nassau county,,culex sp.,37120,"    Direct Submission
  ",mosquito,Culex
KX547221,West Nile virus,USA,NY,Nassau county,,culex sp.,41905,"    Direct Submission
  ",mosquito,Culex
KX547245,West Nile virus,USA,NY,Nassau county,,culex sp.,37512,"    Direct Submission
  ",mosquito,Culex
KX547266,West Nile virus,USA,NY,Nassau county,,culex sp.,37477,"    Direct Submission
  ",mosquito,Culex
KX547268,West Nile virus,USA,NY,Nassau county,,culex sp.,38938,"    Direct Submission
  ",mosquito,Culex
KX547295,West Nile virus,USA,NY,Nassau county,,culex sp.,40779,"    Direct Submission
  ",mosquito,Culex
KX547315,West Nile virus,USA,NY,Nassau county,,culex sp.,41145,"    Direct Submission
  ",mosquito,Culex
KX547326,West Nile virus,USA,NY,Nassau county,,culex sp.,39295,"    Direct Submission
  ",mosquito,Culex
KX547351,West Nile virus,USA,NY,Nassau county,,culex sp.,38203,"    Direct Submission
  ",mosquito,Culex
KX547377,West Nile virus,USA,NY,Nassau county,,culex sp.,38554,"    Direct Submission
  ",mosquito,Culex
KX547406,West Nile virus,USA,NY,Nassau county,,culex sp.,40081,"    Direct Submission
  ",mosquito,Culex
KX547455,West Nile virus,USA,NY,Nassau county,,culex sp.,37846,"    Direct Submission
  ",mosquito,Culex
KX547483,West Nile virus,USA,NY,Nassau county,,culex sp.,41823,"    Direct Submission
  ",mosquito,Culex
KX547510,West Nile virus,USA,NY,Nassau county,,culex sp.,39339,"    Direct Submission
  ",mosquito,Culex
KX547526,West Nile virus,USA,NY,Nassau county,,culex sp.,37869,"    Direct Submission
  ",mosquito,Culex
KX547538,West Nile virus,USA,NY,Nassau county,,culex sp.,37118,"    Direct Submission
  ",mosquito,Culex
KX547541,West Nile virus,USA,NY,Nassau county,,culex sp.,40053,"    Direct Submission
  ",mosquito,Culex
KX547558,West Nile virus,USA,NY,Nassau county,,culex sp.,39695,"    Direct Submission
  ",mosquito,Culex
KX547559,West Nile virus,USA,NY,Nassau county,,culex sp.,41163,"    Direct Submission
  ",mosquito,Culex
KX547481,West Nile virus,USA,NY,Nassau county,,cyanocitta cristata,38596,"    Direct Submission
  ",bird,Blue Jay
KX547621,West Nile virus,USA,NY,Nassau county,,cyanocitta cristata,38259,"    Direct Submission
  ",bird,Blue Jay
FJ151394,West Nile virus,USA,NY,New York City,,crow,1999,"    Helices alpha2 and alpha3 of West Nile virus capsid protein are
            dispensable for assembly of infectious virions
  ",bird,Passeriformes
KX547194,West Nile virus,USA,NY,New York county,,corvus brachyrhynchos,37520,"    Direct Submission
  ",bird,American Crow
KX547487,West Nile virus,USA,NY,New York county,,corvus brachyrhynchos,38264,"    Direct Submission
  ",bird,American Crow
KX547287,West Nile virus,USA,NY,New York county,,passer domesticus,37893,"    Direct Submission
  ",bird,Passeriformes
KX547312,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,38127,"    Direct Submission
  ",bird,American Crow
KX547327,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,38953,"    Direct Submission
  ",bird,American Crow
KX547373,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,40086,"    Direct Submission
  ",bird,American Crow
KX547439,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,37847,"    Direct Submission
  ",bird,American Crow
KX547496,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,39288,"    Direct Submission
  ",bird,American Crow
KX547580,West Nile virus,USA,NY,Niagara county,,corvus brachyrhynchos,39673,"    Direct Submission
  ",bird,American Crow
KX547215,West Nile virus,USA,NY,Niagara county,,culex sp.,38951,"    Direct Submission
  ",mosquito,Culex
KX547230,West Nile virus,USA,NY,Niagara county,,culex sp.,37519,"    Direct Submission
  ",mosquito,Culex
KX547284,West Nile virus,USA,NY,Niagara county,,culex sp.,39675,"    Direct Submission
  ",mosquito,Culex
KX547431,West Nile virus,USA,NY,Niagara county,,culex sp.,38946,"    Direct Submission
  ",mosquito,Culex
KX547444,West Nile virus,USA,NY,Niagara county,,culex sp.,37474,"    Direct Submission
  ",mosquito,Culex
KX547573,West Nile virus,USA,NY,Niagara county,,culex sp.,37837,"    Direct Submission
  ",mosquito,Culex
KX547259,West Nile virus,USA,NY,Niagara county,,cyanocitta cristata,38575,"    Direct Submission
  ",bird,Blue Jay
KX547318,West Nile virus,USA,NY,Niagara county,,cyanocitta cristata,38948,"    Direct Submission
  ",bird,Blue Jay
KX547202,West Nile virus,USA,NY,Niagara county,,larus delawarensis,38256,"    Direct Submission
  ",bird,Charadriiformes
MH170267,West Nile virus,USA,GA,Gwinnett,bird,cyanocitta cristata,2007,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Blue Jay
MH166882,West Nile virus,USA,VA,Norfolk County,,bird,2000,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166883,West Nile virus,USA,VA,Norfolk County,,bird,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166901,West Nile virus,USA,VA,Norfolk County,,bird,2000,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166903,West Nile virus,USA,VA,Norfolk County,,bird,2000,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166904,West Nile virus,USA,VA,Norfolk County,,bird,2000,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166905,West Nile virus,USA,VA,Norfolk County,,bird,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",bird,Other Birds
MH166884,West Nile virus,USA,VA,Norfolk County,,mosquito,2004,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
MH166885,West Nile virus,USA,VA,Norfolk County,,mosquito,2009,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
MH166886,West Nile virus,USA,VA,Norfolk County,,mosquito,2001,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
MH166887,West Nile virus,USA,VA,Norfolk County,,mosquito,2002,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
MH166888,West Nile virus,USA,VA,Norfolk County,,mosquito,2005,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
MH166889,West Nile virus,USA,VA,Norfolk County,,mosquito,2006,"    Terrestrial Bird Migration and West Nile Virus Circulation, United
            States
  ",mosquito,
