Name,organism,country,city/state,county,isolation_source,host,collection_date, 
DQ080054,,,CA,Los Angeles,,Culex quinquefasciatus,2003,
DQ080055,,,CA,Imperial Valley,,Culex tarsalis,2003,
DQ080056,,,CA,Imperial Valley,,Culex tarsalis,2003,
DQ080057,,,CA,Los Angeles,,Crow,2003,
DQ080058,,,CA,Los Angeles,,Crow,2003,
DQ080059,,,CA,Sacramento,,Magpie,2003,
DQ080061,,,LA,,,Northern Cardinal  ,2004,
DQ080062,,,LA,,,Mosquito,2002,
DQ080071,,,FL,Sumter Co.,,Horse,2002,
DQ080072,,,FL,Palm Beach Co.,,Catbird,2001,
DQ116961,West Nile virus,Hungary,,,,goshawk,,"    Lineage 1 and 2 strains of encephalitic West Nile virus, central
            Europe
  "
DQ118127,West Nile virus,Hungary,,,,goose,,"    Lineage 1 and 2 strains of encephalitic West Nile virus, central
            Europe
  "
DQ164186,West Nile virus,USA,NY, Queens,,American crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164187,West Nile virus,USA,NY, Broome,,American crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164188,West Nile virus,USA,NY, Westchester,,American crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164189,West Nile virus,USA,NY, Albany,,American crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164190,West Nile virus,USA,NY, Suffolk,,American crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164191,West Nile virus,USA,NY, Chautauqua,,American crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164192,West Nile virus,USA,NY, Rockland,,American crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164193,West Nile virus,USA,NY, Clinton,,American crow,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164194,West Nile virus,USA,NY, Suffolk,,American crow,2001,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164195,West Nile virus,USA,NY, Nassau,,Culex pipiens/restuans,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164196,West Nile virus,USA, GA,,,human- plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164197,West Nile virus,USA, GA,,,human- brain,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164198,West Nile virus,USA, TX,,,human- plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164199,West Nile virus,USA, TX,,,human- plasma,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164200,West Nile virus,USA, IN,,,human- plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164201,West Nile virus,USA, AZ,,,human- plasma,2004,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164202,West Nile virus,USA, OH,,,human- plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164203,West Nile virus,USA, CO,,,Magpie,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164204,West Nile virus,USA, CO,,,Red-tailed hawk,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164205,West Nile virus,USA, TX,,,human- plasma,2002,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ164206,West Nile virus,USA, TX,Harris County,,Bluejay,2004,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  "
DQ176636,West Nile virus,Madagascar,,,parrot (Coracopsis vasa),,1978,"    Resistance to alpha/beta interferon is a determinant of West Nile
            virus replication fitness and virulence
  "
DQ176637,West Nile virus,USA,TX, Hall County,grackle (Quiscalus quiscula),grackle (Quiscalus quiscula),,"    Resistance to alpha/beta interferon is a determinant of West Nile
            virus replication fitness and virulence
  "
DQ211652,West Nile virus,USA,,,,,,"    Biological properties of chimeric West Nile viruses
  "
"DQ211652, AY842931",,,NY,,,Snowy Owl,1999,
DQ256376,West Nile virus,India,,,brain,Homo sapiens,1980,"    West Nile virus isolates from India: New variant different from
            American, European and African West Nile viruses?
  "
DQ318019,West Nile virus,Senegal,,,,,,"    Genetic determinants of West Nile virus pathogenicity
  "
DQ318020,West Nile virus,Central African Republic,,,,,,"    Genetic determinants of West Nile virus pathogenicity
  "
DQ374650,West Nile virus,Russia,,,,Phalacrocorax carbo (L.).,,"    Direct Submission
  "
DQ374651,West Nile virus,Russia,,,,Pica pica,,"    Direct Submission
  "
DQ374652,West Nile virus,Russia,,,,Corvus corone,,"    Direct Submission
  "
DQ374653,West Nile virus,Russia,,,,Corvus corone,,"    Direct Submission
  "
DQ377178,West Nile virus,Russia,,,,Hyalomma marginatum,,"    West Nile virus isolate Ast02-2-26 complete genome sequence
  "
DQ377179,West Nile virus,Russia,,,,Corvus frugilegus,,"    West Nile virus isolate Ast02-2-298 complete genome sequence
  "
DQ377180,West Nile virus,Russia,,,,Phalacrocorax carbo,,"    West Nile virus isolate Ast02-3-208 complete genome sequence
  "
DQ411029,West Nile virus,Russia,,,,Phalacrocorax carbo,,"    Direct Submission
  "
DQ411030,West Nile virus,Russia,,,,Hyalomma Marginatum,,"    Direct Submission
  "
DQ411031,West Nile virus,Russia,,,,Corvus corone,,"    Direct Submission
  "
DQ411032,West Nile virus,Russia,,,,Columba livia,,"    Direct Submission
  "
DQ411033,West Nile virus,Russia,,,,Phalacrocorax carbo,,"    Direct Submission
  "
DQ411034,West Nile virus,Russia,,,,Anopheles messeae,,"    Direct Submission
  "
DQ411035,West Nile virus,Russia,,,,Anopheles messeae,,"    Direct Submission
  "
DQ431693,,,TX,,,human- plasma,2003,
DQ431694,,,TX,,,human- plasma,2003,
DQ431695,,,IL,,,human- plasma,2003,
DQ431696,,,WI,,,human- plasma,2003,
DQ431697,,,FL,,,human- plasma,2003,
DQ431698,,,FL,,,human- plasma,2003,
DQ431699,,,FL,,,human- plasma,2003,
DQ431700,,,CA,,,human- plasma,2004,
DQ431701,,,CO,,,human- plasma,2004,
DQ431702,,,CO,,,human- plasma,2004,
DQ431703,,,CO,,,human- plasma,2004,
DQ431704,,,CO,,,human- plasma,2004,
DQ431705,,,ND,,,human- plasma,2004,
DQ431706,,,NM,,,human- plasma,2004,
DQ431707,,,NM,,,human- plasma,2004,
DQ431708,,,CA,,,human- plasma,2004,
DQ431709,,,CA,,,human- plasma,2004,
DQ431710,,,CA,,,human- plasma,2004,
DQ431711,,,AZ,,,human- plasma,2004,
DQ431712,,,AZ,,,human- plasma,2004,
DQ666448,West Nile virus,USA,AZ,,,human- plasma,2004,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  "
DQ666449,West Nile virus,USA,TX,,,human- plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  "
DQ666450,West Nile virus,USA,TX,,,human- plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  "
DQ666451,West Nile virus,USA,AZ,,,human- plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  "
DQ666452,West Nile virus,USA,SD,,,human- plasma,2005,"    Genetic variability of West Nile virus (WNV) in blood donor
            populations during four consecutive epidemics (2002 to 2005) in the
            USA
  "
EF429197,West Nile virus SPU116/89,South Africa,,,patient who died of necrotic hepatitis,Homo sapiens,1989,"    Genetic determinants of virulence in pathogenic lineage 2 West Nile
            virus strains
  "
EF429198,West Nile virus SA93/01,South Africa,,,"patient with fever, rash, myalgia, and                     encephalitis",Homo sapiens,2001,"    Genetic determinants of virulence in pathogenic lineage 2 West Nile
            virus strains
  "
EF429199,West Nile virus SA381/00,South Africa,,,"patient with fever, rash, myalgia, and                     arthralgia",Homo sapiens,2000,"    Genetic determinants of virulence in pathogenic lineage 2 West Nile
            virus strains
  "
EF429200,West Nile virus H442,South Africa,,,"patient with fever, rash, myalgia, and                     arthralgia",Homo sapiens,1958,"    Genetic determinants of virulence in pathogenic lineage 2 West Nile
            virus strains
  "
EF530047,West Nile virus,USA,,,kidney,American crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  "
EF571854,West Nile virus,USA,,,,,,"    Consensus genomic sequence of West Nile Virus 385-99 after one
            passage in Vero cells
  "
EF657887,West Nile virus,USA,,,kidney,American crow,2000,"    Characterization of a small plaque variant of West Nile virus
            isolated in New York in 2000
  "
EU081844,West Nile virus,Egypt,,,,,,"    Nucleotide sequence confirmation and genetic stability of West Nile
            virus strain Egypt 101 after several passages in Vero cells
  "
EU155484,West Nile virus,USA,,,,,,"    SYBR green-based real-time quantitative PCR assay for detection of
            West Nile Virus circumvents false-negative results due to strain
            variability
  "
EU249803,West Nile virus,,,,,Rousettus leschenaultii,1968,"    Genomic characterization of a highly virulent West Nile virus
            lineage 1 strain isolated in India
  "
FJ151394,West Nile virus,USA,NY, New York City,,crow,1999,"    Helices alpha2 and alpha3 of West Nile virus capsid protein are
            dispensable for assembly of infectious virions
  "
FJ159129,West Nile virus,Russia, Volgograd,,,Uranotaenia unguiculata (mosquito),2006,"    West Nile-like virus in amphibians and mosquitoes in Volgograd,
            Russia
  "
FJ159130,West Nile virus,Russia, Volgograd,,,Uranotaenia unguiculata (mosquito),2005,"    West Nile-like virus in amphibians and mosquitoes in Volgograd,
            Russia
  "
FJ159131,West Nile virus,Russia, Volgograd,,,Uranotaenia unguiculata (mosquito),2005,"    West Nile-like virus in amphibians and mosquitoes in Volgograd,
            Russia
  "
FJ411043,West Nile virus,,,,,,,"    Development and application of West Nile virus subgenomic replicon
            RNA expressing secreted alkaline phosphatase
  "
FJ483548,West Nile virus,Italy,,,magpie,,2008,"    Direct Submission
  "
FJ483549,West Nile virus,Italy,,,magpie,,2008,"    Direct Submission
  "
FJ527738,West Nile virus,USA,LA,,,blue jay,2001,"    Complete genome analysis and virulence characteristics of the
            Louisiana West Nile virus strain LSU-AR01
  "
GQ379156,West Nile virus,USA,,,,crow,37073,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GQ379157,West Nile virus,USA,CA,,,crow,39661,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GQ379158,West Nile virus,USA,CA,,,Culex tarsalis,39295,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GQ379159,West Nile virus,USA,CA,,,fox squirrel,39661,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GQ379160,West Nile virus,Argentina,,,brain,equine,38749,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GQ379161,West Nile virus,Argentina,,,brain,equine,38749,"    Complete genome sequences and phylogenetic analysis of two West
            Nile virus strains isolated from equines in Argentina in 2006
  "
GU011992,West Nile virus,Italy,,,blood donor,Homo sapiens,2009,"    Genome sequence analysis of the first human West Nile virus
            isolated in Italy in 2009
  "
GU827998,,,TX,Hall County ,,blue jay,2002,
GU827999,,,TX,,,Bluejay,2003,
GU828000,,,TX,Hall County ,,Bluejay,2003,
GU828001,,,TX,Hall County ,,Culex quinquefasciatus,2003,
GU828002,,,TX,Hall County ,,Culex quinquefasciatus,2003,
GU828003,,,TX,Jefferson County,,Mourning dove,2003,
GU828004,,,TX,Montgomery County,,Bluejay,2003,
HM051416,West Nile virus,Israel,,,,Homo sapiens,1953,"    Direct Submission
  "
HM147822,West Nile virus,South Africa,,,,,1958,"    Molecular evolution of lineage 2 West Nile virus
  "
HM147823,West Nile virus,Madagascar,,,,,1988,"    Molecular evolution of lineage 2 West Nile virus
  "
HM147824,West Nile virus,Democratic Republic of the Congo,,,,,1958,"    Molecular evolution of lineage 2 West Nile virus
  "
HM488114,West Nile virus,USA,CT,,cell supernatant,Aedes cinereus,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488115,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488116,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488117,West Nile virus,USA,CT,,cell supernatant,Ochlerotatus triseriatus,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488118,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488119,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488120,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488121,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488122,West Nile virus,,,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488123,West Nile virus,,,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488124,West Nile virus,,,,cell supernatant,Mesocricetus auratus,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488125,West Nile virus,USA,CT,,cell supernatant,Corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488126,West Nile virus,USA,CT,,cell supernatant,Corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488127,West Nile virus,USA,CT,,cell supernatant,Corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488128,West Nile virus,USA,CT,,cell supernatant,Corvus brachyrhynchos,1999,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488129,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488130,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488131,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488132,West Nile virus,USA,CT,,cell supernatant,Culiseta melanura,2000,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488133,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488134,West Nile virus,USA,CT,,cell supernatant,Ochlerotatus sollicitans,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488135,West Nile virus,USA,CT,,cell supernatant,Ochlerotatus cantator,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488136,West Nile virus,USA,CT,,cell supernatant,Culex restuans,2001,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488137,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2002,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488138,West Nile virus,USA,CT,,cell supernatant,Culex restuans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488139,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488140,West Nile virus,USA,CT,,cell supernatant,Aedes vexans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488141,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488142,West Nile virus,USA,CT,,cell supernatant,Ochlerotatus triseriatus,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488143,West Nile virus,USA,CT,,cell supernatant,Aedes cinereus,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488144,West Nile virus,USA,CT,,cell supernatant,Culex restuans,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488145,West Nile virus,USA,CT,,cell supernatant,Aedes vexans,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488146,West Nile virus,USA,CT,,cell supernatant,Psorophora ferox,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488147,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488148,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2004,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488149,West Nile virus,USA,CT,,cell supernatant,Ochlerotatus cantator,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488150,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488151,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488152,West Nile virus,USA,CT,,cell supernatant,Aedes vexans,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488153,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488154,West Nile virus,USA,CT,,cell supernatant,Culex pipiens male,2005,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488155,West Nile virus,USA,CT,,cell supernatant,Culex restuans,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488156,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488157,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488158,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488159,West Nile virus,USA,CT,,cell supernatant,Culex salinarius,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488160,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2006,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488161,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488162,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488163,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488164,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488165,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2007,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488166,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488167,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488168,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488169,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488170,West Nile virus,USA,CT,,cell supernatant,Culex pipiens,2008,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
HM488171,West Nile virus,USA,CT,,cell supernatant,Culex restuans,2003,"    Molecular evolution of West Nile virus in a northern temperate
            region: Connecticut, USA 1999-2008
  "
